line1,line2,line3,miles,soon
George Mason University,4400 University Drive,"Fairfax, VA 22030 ",16.3,soon
8100 Veterans Highway,"Millersville, MD 21108 ",,25.2,
BWI Airport - Terminal A,7050 Friendship Road,"Linthicum, MD 21090 ",26.2,
4830 Crossings Court,"Fredericksburg, VA 22407 ",,53.9,
"Highspire Travel Plaza, Penn Turnpike Eastbound Milepost 249.7","Middletown, PA 17057 ",,90.1,
4511 S. Laburnum Avenue,"Henrico, VA 23231 ",,98.3,
"South Midway Travel Plaza, Penn Turnpike Eastbound Milepost 147.3","Bedford, PA 15522 ",,108.9,
425 Charles H Dimmock Drive,"Colonial Heights, VA 23384 ",,117.2,
840 Shenandoah Village Dr.,"Waynesboro, VA 22980 ",,119.3,
2136 W. Mercury Blvd,"Hampton, VA 23666 ",,134.9,
(Counter Service),7720 Main Street,"Fogelsville, PA 18051 ",136.3,
2437 E. Little Creek Road,"Norfolk, VA 23518 ",,146,
400 East Second Street,"Bloomsburg, PA 17815 ",,147.2,
950 State Highway 33,"Hamilton Township, NJ 08690 ",,154.8,soon
1676 General Booth Boulevard,"Virginia Beach, VA 23454 ",,158.5,
3351 Candlers Mountain Road,"Lynchburg, VA 24502 ",,158.5,
64 Princeton Hightstown Road,"West Windsor, NJ 08550 ",,160.3,
500 Greengate Center Circle,"Greensburg, PA 15601 ",,165.7,
410 Clairton Blvd,"Pleasant Hills, PA 15236 ",,183.1,
650 E Waterfront Dr E,"Munhall, PA 15120 ",,184,
2005 Pittsburgh Mills Blvd.,"Tarentum, PA 15084 ",,185.7,
1309 Hershberger Road NW,"Roanoke, VA 24012 ",,193.9,
1951 Park Manor Blvd,"Pittsburgh, PA 15205 ",,197.5,
Counter Service,1695 Broadway,"New York City, NY 10019 ",205.7,
Counter Service,700 Paramus Park,"Paramus, NJ 07652 ",210.7,
230 Golfview Drive,"Monaca, PA 15061 ",,211.8,
50840 Valley Frontage Rd.,"St. Clairsville, OH 43950 ",,220.8,
2840 Millbrook Road,"Raleigh, NC 27604 ",,229,
5900 Duraleigh Road,"Raleigh, NC 27612 ",,231.1,
3120 Garden Road,"Burlington, NC 27215 ",,239.2,
